model_id,dim,M,rep,seed,method,selected_h,sup_err,ise,f_hat,min_D_hat,gap_to_oracle,is_grid_boundary
gg_1d,1,4000,10,2396799522,lepski,0.3,0.11541786602229465,0.08681511568236079,0.3987938696878093,0.005776915491618982,1.0,0
gg_1d,1,4000,11,3503732972,oracle,0.3,0.13336530065730123,0.08832636040326816,0.3920703325990474,0.006132774125208213,1.0,0
gg_1d,1,4000,11,3503732972,lepski,0.212132034356,0.17985734824839383,0.1554880082844933,0.40287400573323773,0.005202613324368446,1.3486067767399237,0
gg_1d,1,4000,12,2141779427,oracle,0.3,0.1835498876590198,0.20596807334584263,0.3792185161419454,0.007496067628227941,1.0,0
gg_1d,1,4000,12,2141779427,lepski,0.212132034356,0.19566325073198243,0.14845507437755726,0.38917841756171606,0.006820389416669854,1.0659949359133665,0
gg_1d,1,4000,13,830193079,oracle,0.0375,0.11890381288533347,0.12432213344538313,0.4019468084428269,0.006186379987337013,1.0,0
gg_1d,1,4000,13,830193079,lepski,0.212132034356,0.12890640224093453,0.10488388584644727,0.4070672351900572,0.006333394872953886,1.084123369241718,0
gg_1d,1,4000,14,104832471,oracle,0.212132034356,0.0461252567569177,0.059512257488323166,0.4062164062389374,0.006562408450260579,1.0,0
gg_1d,1,4000,14,104832471,lepski,0.424264068712,0.11208751236374104,0.15172508612725802,0.39258127092842016,0.007429839233806453,2.4300680417769285,0
gg_1d,1,4000,15,556065447,oracle,0.3,0.06592972663009089,0.07320171547237735,0.41448779790804785,0.006768618575810231,1.0,0
gg_1d,1,4000,15,556065447,lepski,0.3,0.06592972663009089,0.07320171547237735,0.41448779790804785,0.006768618575810231,1.0,0
gg_1d,1,4000,16,349892316,oracle,0.106066017178,0.07380914496119262,0.07559676191149262,0.38767371634582104,0.006127504313429423,1.0,0
gg_1d,1,4000,16,349892316,lepski,0.3,0.1576821256339307,0.17463143845752332,0.3848847866661147,0.007654355198877597,2.136349441750569,0
